Ano,Unidade da Federação,Quantidade_existente,Quantidade_SUS,Quantidade_Não_SUS
2020,11 Rondônia,7,-,7
2020,13 Amazonas,13,5,8
2020,14 Roraima,15,-,15
2020,15 Pará,37,-,37
2020,16 Amapá,2,-,2
2020,17 Tocantins,8,6,2
2020,21 Maranhão,2,-,2
2020,22 Piauí,14,-,14
2020,23 Ceará,47,-,47
2020,24 Rio Grande do Norte,15,-,15
2020,25 Paraíba,7,-,7
2020,26 Pernambuco,50,16,34
2020,27 Alagoas,10,10,-
2020,28 Sergipe,7,-,7
2020,29 Bahia,45,10,35
2020,31 Minas Gerais,37,5,32
2020,32 Espírito Santo,10,-,10
2020,33 Rio de Janeiro,78,7,71
2020,35 São Paulo,142,-,142
2020,41 Paraná,39,15,24
2020,42 Santa Catarina,41,-,41
2020,43 Rio Grande do Sul,10,-,10
2020,50 Mato Grosso do Sul,3,-,3
2020,51 Mato Grosso,10,10,-
2020,52 Goiás,20,-,20
2020,53 Distrito Federal,10,-,10
