ano,uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
2022,AC,OUTRAS,DOMICILIO,< 9,F,6
2022,AC,OUTRAS,DOMICILIO,< 9,I,1
2022,AC,OUTRAS,DOMICILIO,< 9,M,4
2022,AC,OUTRAS,HOSPITAL,< 9,F,20
2022,AC,OUTRAS,HOSPITAL,< 9,M,19
2022,AC,OUTRAS,OUTRO,< 9,M,3
2022,AC,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,3
2022,AC,OUTRAS,VIA_PUBLICA,< 9,M,1
2022,AC,COVID,HOSPITAL,< 9,M,3
2022,AC,INDETERMINADA,HOSPITAL,< 9,M,1
2022,AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,1
2022,AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,2
2022,AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,4
2022,AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,7
2022,AC,PNEUMONIA,DOMICILIO,< 9,F,2
2022,AC,PNEUMONIA,DOMICILIO,< 9,M,1
2022,AC,PNEUMONIA,HOSPITAL,< 9,F,12
2022,AC,PNEUMONIA,HOSPITAL,< 9,I,1
2022,AC,PNEUMONIA,HOSPITAL,< 9,M,9
2022,AC,SEPTICEMIA,DOMICILIO,< 9,M,1
2022,AC,SEPTICEMIA,HOSPITAL,< 9,F,17
2022,AC,SEPTICEMIA,HOSPITAL,< 9,M,26
2022,AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,3
2022,AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,1
2022,AC,SRAG,DOMICILIO,< 9,F,1
2022,AC,SRAG,HOSPITAL,< 9,M,2
2022,AL,OUTRAS,DOMICILIO,< 9,F,4
2022,AL,OUTRAS,DOMICILIO,< 9,M,6
2022,AL,OUTRAS,HOSPITAL,< 9,F,68
2022,AL,OUTRAS,HOSPITAL,< 9,I,2
2022,AL,OUTRAS,HOSPITAL,< 9,M,96
2022,AL,OUTRAS,OUTRO,< 9,F,1
2022,AL,OUTRAS,OUTRO,< 9,M,1
2022,AL,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,2
2022,AL,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,4
2022,AL,OUTRAS,VIA_PUBLICA,< 9,F,2
2022,AL,OUTRAS,VIA_PUBLICA,< 9,M,1
2022,AL,COVID,HOSPITAL,< 9,F,1
2022,AL,COVID,HOSPITAL,< 9,M,3
2022,AL,INDETERMINADA,HOSPITAL,< 9,M,1
2022,AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,1
2022,AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,15
2022,AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,7
2022,AL,PNEUMONIA,HOSPITAL,< 9,F,5
2022,AL,PNEUMONIA,HOSPITAL,< 9,M,12
2022,AL,PNEUMONIA,OUTRO,< 9,F,1
2022,AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1
2022,AL,SEPTICEMIA,HOSPITAL,< 9,F,34
2022,AL,SEPTICEMIA,HOSPITAL,< 9,M,34
2022,AL,SRAG,HOSPITAL,< 9,F,1
2022,AL,SRAG,HOSPITAL,< 9,M,1
2022,AM,OUTRAS,DOMICILIO,< 9,F,19
2022,AM,OUTRAS,DOMICILIO,< 9,M,15
2022,AM,OUTRAS,HOSPITAL,< 9,F,97
2022,AM,OUTRAS,HOSPITAL,< 9,I,2
2022,AM,OUTRAS,HOSPITAL,< 9,M,124
2022,AM,OUTRAS,OUTRO,< 9,F,12
2022,AM,OUTRAS,OUTRO,< 9,M,12
2022,AM,OUTRAS,VIA_PUBLICA,< 9,F,1
2022,AM,COVID,DOMICILIO,< 9,F,1
2022,AM,COVID,HOSPITAL,< 9,F,3
2022,AM,COVID,HOSPITAL,< 9,M,3
2022,AM,INDETERMINADA,DOMICILIO,< 9,F,1
2022,AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,1
2022,AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,8
2022,AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,1
2022,AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,13
2022,AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,4
2022,AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,6
2022,AM,PNEUMONIA,DOMICILIO,< 9,F,1
2022,AM,PNEUMONIA,DOMICILIO,< 9,M,1
2022,AM,PNEUMONIA,HOSPITAL,< 9,F,24
2022,AM,PNEUMONIA,HOSPITAL,< 9,M,21
2022,AM,PNEUMONIA,OUTRO,< 9,F,2
2022,AM,PNEUMONIA,OUTRO,< 9,M,8
2022,AM,SEPTICEMIA,DOMICILIO,< 9,M,1
2022,AM,SEPTICEMIA,HOSPITAL,< 9,F,45
2022,AM,SEPTICEMIA,HOSPITAL,< 9,M,47
2022,AM,SEPTICEMIA,OUTRO,< 9,F,4
2022,AM,SEPTICEMIA,OUTRO,< 9,M,7
2022,AM,SRAG,HOSPITAL,< 9,F,2
2022,AM,SRAG,HOSPITAL,< 9,M,3
2022,AP,OUTRAS,DOMICILIO,< 9,F,2
2022,AP,OUTRAS,DOMICILIO,< 9,M,1
2022,AP,OUTRAS,HOSPITAL,< 9,F,11
2022,AP,OUTRAS,HOSPITAL,< 9,M,12
2022,AP,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,1
2022,AP,COVID,HOSPITAL,< 9,M,2
2022,AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,1
2022,AP,PNEUMONIA,HOSPITAL,< 9,F,2
2022,AP,PNEUMONIA,HOSPITAL,< 9,M,4
2022,AP,SEPTICEMIA,HOSPITAL,< 9,F,5
2022,AP,SEPTICEMIA,HOSPITAL,< 9,M,7
2022,BA,OUTRAS,DOMICILIO,< 9,F,10
2022,BA,OUTRAS,DOMICILIO,< 9,M,15
2022,BA,OUTRAS,HOSPITAL,< 9,F,239
2022,BA,OUTRAS,HOSPITAL,< 9,I,9
2022,BA,OUTRAS,HOSPITAL,< 9,M,271
2022,BA,OUTRAS,IGNORADO,< 9,F,1
2022,BA,OUTRAS,IGNORADO,< 9,M,2
2022,BA,OUTRAS,OUTRO,< 9,F,1
2022,BA,OUTRAS,OUTRO,< 9,I,1
2022,BA,OUTRAS,OUTRO,< 9,M,7
2022,BA,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,15
2022,BA,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,7
2022,BA,OUTRAS,VIA_PUBLICA,< 9,F,1
2022,BA,OUTRAS,VIA_PUBLICA,< 9,M,2
2022,BA,COVID,HOSPITAL,< 9,F,4
2022,BA,COVID,HOSPITAL,< 9,M,9
2022,BA,INDETERMINADA,HOSPITAL,< 9,F,1
2022,BA,INDETERMINADA,HOSPITAL,< 9,I,1
2022,BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,2
2022,BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,4
2022,BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,68
2022,BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,97
2022,BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,< 9,F,1
2022,BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,2
2022,BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,I,2
2022,BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,3
2022,BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,< 9,F,2
2022,BA,PNEUMONIA,HOSPITAL,< 9,F,35
2022,BA,PNEUMONIA,HOSPITAL,< 9,M,53
2022,BA,PNEUMONIA,IGNORADO,< 9,F,1
2022,BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1
2022,BA,SEPTICEMIA,DOMICILIO,< 9,M,1
2022,BA,SEPTICEMIA,HOSPITAL,< 9,F,90
2022,BA,SEPTICEMIA,HOSPITAL,< 9,I,1
2022,BA,SEPTICEMIA,HOSPITAL,< 9,M,104
2022,BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,3
2022,BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,6
2022,BA,SRAG,DOMICILIO,< 9,F,1
2022,BA,SRAG,HOSPITAL,< 9,F,7
2022,BA,SRAG,HOSPITAL,< 9,M,4
2022,BA,SRAG,OUTROS_SERVICOS_SAUDE,< 9,F,1
2022,CE,OUTRAS,DOMICILIO,< 9,F,10
2022,CE,OUTRAS,DOMICILIO,< 9,M,6
2022,CE,OUTRAS,HOSPITAL,< 9,F,188
2022,CE,OUTRAS,HOSPITAL,< 9,I,10
2022,CE,OUTRAS,HOSPITAL,< 9,M,200
2022,CE,OUTRAS,IGNORADO,< 9,F,2
2022,CE,OUTRAS,IGNORADO,< 9,M,1
