Ano,Unidade da Federação,Quantidade_existente,Quantidade_SUS,Quantidade_Não_SUS
2020,11 Rondônia,36,-,36
2020,12 Acre,26,-,26
2020,13 Amazonas,96,2,94
2020,15 Pará,185,-,185
2020,17 Tocantins,38,-,38
2020,21 Maranhão,76,5,71
2020,22 Piauí,51,22,29
2020,23 Ceará,22,-,22
2020,24 Rio Grande do Norte,71,36,35
2020,25 Paraíba,52,2,50
2020,26 Pernambuco,104,-,104
2020,27 Alagoas,2,-,2
2020,28 Sergipe,70,-,70
2020,29 Bahia,187,18,169
2020,31 Minas Gerais,403,130,273
2020,32 Espírito Santo,17,-,17
2020,33 Rio de Janeiro,290,82,208
2020,35 São Paulo,793,315,478
2020,41 Paraná,11,-,11
2020,42 Santa Catarina,72,32,40
2020,43 Rio Grande do Sul,184,46,138
2020,50 Mato Grosso do Sul,8,-,8
2020,51 Mato Grosso,56,16,40
2020,52 Goiás,151,8,143
2020,53 Distrito Federal,175,101,74
