Ano,Unidade da Federação,Quantidade_existente,Quantidade_SUS,Quantidade_Não_SUS
2021,11 Rondônia,325,195,130
2021,12 Acre,50,50,-
2021,13 Amazonas,216,177,39
2021,14 Roraima,55,54,1
2021,15 Pará,591,299,292
2021,16 Amapá,72,-,72
2021,17 Tocantins,253,183,70
2021,21 Maranhão,439,133,306
2021,22 Piauí,372,182,190
2021,23 Ceará,674,259,415
2021,24 Rio Grande do Norte,456,203,253
2021,25 Paraíba,503,437,66
2021,26 Pernambuco,1492,906,586
2021,27 Alagoas,417,329,88
2021,28 Sergipe,72,30,42
2021,29 Bahia,1513,738,775
2021,31 Minas Gerais,2588,2090,498
2021,32 Espírito Santo,572,360,212
2021,33 Rio de Janeiro,2169,1642,527
2021,35 São Paulo,5251,3206,2045
2021,41 Paraná,1319,1022,297
2021,42 Santa Catarina,1063,818,245
2021,43 Rio Grande do Sul,1588,1356,232
2021,50 Mato Grosso do Sul,238,112,126
2021,51 Mato Grosso,561,409,152
2021,52 Goiás,1327,600,727
2021,53 Distrito Federal,383,39,344
